Part	Value	Package	Part #
C1	0.1uF	C0603	C0603X104K5RAC
C2	0.1uF	C0603	C0603X104K5RAC
C3	0.1uF	C0603	C0603X104K5RAC
C4	0.1uF	C0603	C0603X104K5RAC
C5	0.1uF	C0603	C0603X104K5RAC
C6	22uf	A/3216-18R	T491A226M010AT
C7	22uf	A/3216-18R	T491A226M010AT
C8	22uF	C1206	LMK316ABJ226KL-T
C9	0.1uF	C0603	C0603X104K5RAC
C10	0.1uF	C0603	C0603X104K5RAC
ESP-WROOM-32	ESP-WROOM-32	ESP-WROOM-32	ESP-WROOM-32
IC1	LM1117IMPX-3.3	SOT223	NCV1117ST33T3G
MAX3232	MAX3232CSE	SO16	MAX3232IDR
R1	10k	R0603	NRC06J103TRF
RS232	56F402-001	56F402-001	56F402-001
S1	B3U-1000P	SW_B3U-1000P	B3U-1000P
S2	B3U-1000P	SW_B3U-1000P	B3U-1000P
SERIAL	Serial	1X02	pinhead
VIN	Power	1X02	pinhead
